a b c
39.9 0.33 0.16026173050177614
39.9 0.43 0.19024515064574207
39.9 0.54 0.19575908926492072
39.9 0.65 0.19534568172232789
39.9 0.76 0.19435792122072573
39.9 0.87 0.19026711031628815
39.9 0.98 0.18668023379929918
39.9 1.09 0.1832717756638521
39.9 1.2 0.17898090397493702
39.9 1.3 0.17568453460986896
39.9 1.41 0.1720557723569767
39.9 1.52 0.16857103004891966
39.9 1.63 0.16560146057561312
39.9 1.74 0.16230379611674242
39.9 1.85 0.1595747545560408
39.9 1.96 0.15674580413149114
39.9 2.07 0.15408378751583976
39.9 2.17 0.15168346723867204
39.9 2.28 0.14916285813446556
39.9 2.39 0.1470096018061752
39.9 2.5 0.14474167153529136
 
42.1 0.0 0.019607843137254898
42.1 0.11 0.05464953193652438
42.1 0.22 0.11173150945896856
42.1 0.33 0.16834013174487447
42.1 0.43 0.19691316444159174
42.1 0.54 0.20096215519678
42.1 0.65 0.2007795048607177
42.1 0.76 0.19899261830027626
42.1 0.87 0.19447152307914478
42.1 0.98 0.1911245423411464
42.1 1.09 0.18696576541521376
42.1 1.2 0.18282268270735377
42.1 1.3 0.17935166870600946
42.1 1.41 0.17533474641269026
42.1 1.52 0.17211183750353654
42.1 1.63 0.16865116241967884
42.1 1.74 0.16551857370410958
42.1 1.85 0.16259644576649346
42.1 1.96 0.15962116876605167
42.1 2.07 0.1570673157782087
42.1 2.17 0.15434510837280963
42.1 2.28 0.15201352875415444
42.1 2.39 0.1495852619981686
42.1 2.5 0.14739958225382435
 
44.4 0.0 0.019607843137254898
44.4 0.11 0.056646380953846574
44.4 0.22 0.11757539511319044
44.4 0.33 0.17625361080343066
44.4 0.43 0.20314729698687314
44.4 0.54 0.20604562820120095
44.4 0.65 0.20604551797733117
44.4 0.76 0.20327393701141094
44.4 0.87 0.19872835124454172
44.4 0.98 0.19525787443931827
44.4 1.09 0.19051106826646846
44.4 1.2 0.18667259257437752
44.4 1.3 0.18262867018288573
44.4 1.41 0.17874953965408485
44.4 1.52 0.1753153432990902
44.4 1.63 0.171675003993198
44.4 1.74 0.16864092577961634
44.4 1.85 0.16536295785675748
44.4 1.96 0.1625978747158158
44.4 2.07 0.15969311052081475
44.4 2.17 0.1571366274338021
44.4 2.28 0.15456356296884913
44.4 2.39 0.15219009563432867
44.4 2.5 0.14989538994132165
 
46.6 0.0 0.019607843137254898
46.6 0.11 0.05867152957505975
46.6 0.22 0.12346558696626343
46.6 0.33 0.183937978411104
46.6 0.43 0.2089885186566207
46.6 0.54 0.21107830691561807
46.6 0.65 0.211065649654313
46.6 0.76 0.20731632380850679
46.6 0.87 0.20301536758588767
46.6 0.98 0.19901522713004274
46.6 1.09 0.1941173698684182
46.6 1.2 0.1902748808714273
46.6 1.3 0.18578581380333606
46.6 1.41 0.18214129747373148
46.6 1.52 0.17822026966810572
46.6 1.63 0.17481913819980996
46.6 1.74 0.17139995194939553
46.6 1.85 0.16826816516871484
46.6 1.96 0.1652549007794065
46.6 2.07 0.16239195878217075
46.6 2.17 0.15970418561417768
46.6 2.28 0.157093795616751
46.6 2.39 0.15467107132006355
46.6 2.5 0.15228938370942047
 
48.8 0.0 0.019607843137254898
48.8 0.11 0.06071042825343181
48.8 0.22 0.12941566988275308
48.8 0.33 0.1914170195697587
48.8 0.43 0.21449210531357174
48.8 0.54 0.21606603743419042
48.8 0.65 0.21579829056198832
48.8 0.76 0.21125022027873316
48.8 0.87 0.20721624711051007
48.8 0.98 0.20249300505656237
48.8 1.09 0.197802726925473
48.8 1.2 0.19352542282260582
48.8 1.3 0.1890527107593763
48.8 1.41 0.18522195893513943
48.8 1.52 0.18117844040719996
48.8 1.63 0.17774104822187967
48.8 1.74 0.1741336869494193
48.8 1.85 0.17103823451495972
48.8 1.96 0.1678202518105267
48.8 2.07 0.16502055192549708
48.8 2.17 0.16213847607310294
48.8 2.28 0.15959227160522016
48.8 2.39 0.15699932299019304
48.8 2.5 0.15466976725442225
 
51.0 0.0 0.019607843137254898
51.0 0.11 0.06278796908813487
51.0 0.22 0.13540356415533428
51.0 0.33 0.19864097837269068
51.0 0.43 0.2197086058005253
51.0 0.54 0.22102200440214373
51.0 0.65 0.22022066739126128
51.0 0.76 0.2151760088380173
51.0 0.87 0.2112074165883018
51.0 0.98 0.20586253073700703
51.0 1.09 0.20141608528856025
51.0 1.2 0.19656806431283982
51.0 1.3 0.1923475219552622
51.0 1.41 0.18803715923114372
51.0 1.52 0.18421806680781236
51.0 1.63 0.1803770057389148
51.0 1.74 0.17696839219205635
51.0 1.85 0.1735254742209011
51.0 1.96 0.17048582649575772
51.0 2.07 0.16738433899463723
51.0 2.17 0.16465669675196998
51.0 2.28 0.16185656774263285
51.0 2.39 0.15938386080581562
51.0 2.5 0.15685557400061884
 
